date,polarity_score
2020-11-01,0.1111111111111111
2020-11-02,0.03181818181818182
2020-11-03,0.0003910068426197439
2020-11-04,0.046435905961508366
2020-11-05,0.07054905582922824
2020-11-06,-0.0732394366197183
2020-11-07,0.17319568452380954
2020-11-08,0.25
2020-11-09,-0.11197183098591548
2020-11-10,0.0008749999999999999
2020-11-11,0.02533333333333333
2020-11-12,0.1162861491628615
2020-11-13,0.11688311688311688
2020-11-14,0.22377450980392158
2020-11-15,0.21904761904761902
2020-11-16,0.12638888888888888
2020-11-17,0.11722222222222221
2020-11-18,0.13796572280178837
2020-11-19,0.018289676425269644
2020-11-20,0.005208333333333335
2020-11-21,-0.008055555555555555
2020-11-22,0.07613636363636364
2020-11-23,0.059623015873015876
2020-11-24,-0.015271132376395536
2020-11-25,0.026851811129699577
2020-11-26,0.04816690164443932
2020-11-27,0.051467211555344346
2020-11-28,0.03994222801600512
2020-11-29,0.04953992111844716
2020-11-30,0.05677844042705207
2020-12-01,0.06169258800525965
2020-12-02,0.033891623864417575
2020-12-03,0.047660765893952864
2020-12-04,0.04716393673785226
2020-12-05,0.2605763146136631
2020-12-06,0.05456269351913095
2020-12-07,0.06930351296800008
2020-12-08,-0.0023847825649773095
2020-12-09,0.32337469664861046
2020-12-10,0.05602102955008809
2020-12-11,0.06573004872298167
2020-12-12,0.05180024522918158
2020-12-13,0.15680603286280018
2020-12-14,0.08205087519100188
2020-12-15,0.07175115406833255
2020-12-16,0.04500559287487438
2020-12-17,0.0648264139613779
2020-12-18,0.07381982917772065
2020-12-19,0.020432910938148877
2020-12-20,0.09368006890642672
2020-12-21,0.1727335596771705
2020-12-22,-0.031033628176271717
2020-12-23,0.08590060377811706
2020-12-24,0.0812756703603199
2020-12-25,0.08559111750251835
2020-12-26,0.05813574280399136
2020-12-27,0.058456561474520614
2020-12-28,0.07623628031498757
2020-12-29,0.06011177893912094
2020-12-30,0.0727667860608956
2020-12-31,0.032057105566999755
2021-01-01,0.42548761052864614
2021-01-02,0.012797624651100795
2021-01-03,0.039897250499433615
2021-01-04,0.034344687645074604
2021-01-05,0.023588590864587193
2021-01-06,0.23782388599052337
2021-01-07,0.008508099062279556
2021-01-08,0.036028253818106044
2021-01-09,0.06745414528022378
2021-01-10,0.035232745513749456
2021-01-11,0.045398439538125404
2021-01-12,0.03532215937382691
2021-01-13,0.04309183802308802
2021-01-14,0.007094161121047419
2021-01-15,0.09018174066034501
2021-01-16,0.08078473415343837
2021-01-17,0.06215071021171305
2021-01-18,0.06777146652929535
2021-01-19,0.06916921265003301
2021-01-20,0.03217255515231366
2021-01-21,-0.056893853463929084
2021-01-22,0.0516650543923783
2021-01-23,0.005701198168149344
2021-01-24,0.05459262365250237
2021-01-25,0.06589245218114853
2021-01-26,0.09374768403869604
2021-01-27,0.03431602677679532
2021-01-28,0.06205163667208767
2021-01-29,0.17607831990940387
2021-01-30,0.016351037903496794
